A,B,C,D,E,F,G,H,I,J,K,L,M
9.530000000000157,-0.0013714387142912399,-0.0003088015665973255,0.00020735412131151973,0.00029052646410173246,0.0007534675456470502,0.0002835258098963432,0.041726526477387754,-0.021412832080263726,-0.024944009815379697,-0.00308414110024855,-0.0010417920542416222,0.00015184034553925466
9.531000000000157,-0.0013683574708051247,-0.0003077585104689362,0.00020719480613183225,0.00028506707260380227,0.0007564589745679029,0.0002685244310451181,0.04172344523390164,-0.021413875136392115,-0.02494385050020001,-0.0030786817087506196,-0.001044783483162475,0.00016684172439047977
9.532000000000156,-0.0013652806792002134,-0.00030671107306974935,0.00020702033444162937,0.0002810000791124401,0.0007617621963433737,0.00025296266765203416,0.04172036844229673,-0.021414922573791302,-0.024943676028509807,-0.0030746147152592575,-0.0010500867049379457,0.00018240348778356366
9.533000000000156,-0.0013622088149462253,-0.00030565834627959906,0.00020682939549273444,0.00027595803483267687,0.0007662919875309315,0.0002353457241759177,0.04171729657804274,-0.021415975300581452,-0.024943485089560912,-0.003069572670979494,-0.0010546164961255035,0.00020002043125968015
9.534000000000155,-0.0013591406161017616,-0.00030460334083596413,0.000206619201536605,0.0002739081172470027,0.0007674346788059127,0.00021528338445170867,0.041714228379198276,-0.021417030306025087,-0.024943274895604783,-0.00306752275339382,-0.0010557591874004848,0.00022008277098388917
9.535000000000155,-0.001356072373968585,-0.00030354609831228715,0.00020638979937080346,0.00027525858692909345,0.000770287436467123,0.00019754533109321234,0.0417111601370651,-0.021418087548548764,-0.02494304549343898,-0.0030688732230759108,-0.001058611945061695,0.0002378208243423855
9.536000000000154,-0.001353003046235389,-0.0003024863447756293,0.0002061453613604776,0.0002757557692041352,0.000773010397233263,0.00018298001313649928,0.0417080908093319,-0.021419147302085422,-0.024942801055428655,-0.0030693704053509525,-0.001061334905827835,0.00025238614229909856
9.537000000000154,-0.001349934456833804,-0.000301422548945475,0.00020588236519422307,0.000274039673138559,0.0007771619254068368,0.0001613721830026206,0.04170502221993032,-0.021420211097915576,-0.0249425380592624,-0.0030676543092853763,-0.0010654864340014089,0.00027399397243297723
9.538000000000153,-0.0013468680457938836,-0.00030035691254858346,0.00020559659785116327,0.0002715699477667138,0.0007772691597341323,0.00013848776734954043,0.0417019558088904,-0.021421276734312468,-0.02494225229191934,-0.003065184583913531,-0.0010655936683287043,0.0002968783880860574
9.539000000000152,-0.0013438040540392701,-0.00029929174699172556,0.0002052899330692616,0.00026946786710132327,0.000776361448531165,0.00011964205629558412,0.041698891817135784,-0.021422341899869326,-0.02494194562713744,-0.0030630825032481406,-0.001064685957125737,0.0003157240991400137
9.540000000000152,-0.00134074131363153,-0.00029822764361085025,0.0002049666038060477,0.0002685445839111138,0.000774643432136846,0.00010404956626483731,0.041695829076728044,-0.0214234060032502,-0.024941622297874225,-0.003062159220057931,-0.001062967940731418,0.00033131658917076053
9.541000000000151,-0.0013376802137834987,-0.0002971669168380514,0.00020462653556715601,0.00026635661234523196,0.0007693722914819624,8.733775231439128e-5,0.04169276797688001,-0.021424466730023,-0.024941282229635334,-0.0030599712484920493,-0.0010576968000765344,0.00034802840312120656
9.54200000000015,-0.001334621509589566,-0.00029611382762028196,0.00020427212997078947,0.0002638990914771533,0.0007594978324866133,7.43096772577985e-5,0.04168970927268608,-0.02142551981924077,-0.024940927824038967,-0.0030575137276239706,-0.0010478223410811853,0.00036105647817779934
9.54300000000015,-0.0013315650331517381,-0.00029507259074465844,0.00020390387523366513,0.0002623830538898155,0.0007462568618590312,5.9754408881178235e-5,0.04168665279624825,-0.021426561056116393,-0.024940559569301843,-0.003055997690036633,-0.0010345813704536033,0.0003756117465544196
9.54400000000015,-0.001328508397125519,-0.0002940448049588047,0.00020352058897670985,0.00026408664941308165,0.0007319614185955922,4.220987590963641e-5,0.04168359616022203,-0.021427588841902247,-0.024940176283044888,-0.003057701285559899,-0.0010202859271901642,0.00039315627952596143
9.54500000000015,-0.0013254487767343157,-0.0002930334274384022,0.00020311317165027168,0.0002669167511897691,0.000714445126761583,1.5155114834157414e-5,0.04168053653983083,-0.02142860021942265,-0.02493976886571845,-0.0030605313873365864,-0.001002769635356155,0.00042021104060144043
9.546000000000149,-0.0013223893505698234,-0.0002920386646446081,0.0002026831015610013,0.0002645838439984949,0.0006983389137669518,-4.535258419007503e-6,0.04167747711366634,-0.021429594982216443,-0.02493933879562918,-0.0030581984801453122,-0.0009866634223615238,0.00043990141385460535
9.547000000000148,-0.0013193326246970435,-0.00029106028565342723,0.00020223342427072924,0.0002618107478589873,0.0006826390618679921,-2.4158981921540207e-5,0.04167442038779356,-0.021430573361207624,-0.024938889118338907,-0.0030554253840058047,-0.0009709635704625642,0.00045952513735713805
9.548000000000147,-0.0013162781555646486,-0.00029009499948276507,0.00020176390734495328,0.00025956687398896294,0.0006709614069892358,-4.406237811196848e-5,0.04167136591866116,-0.021431538647378286,-0.02493841960141313,-0.0030531815101357803,-0.0009592859155838078,0.0004794285335475663
9.549000000000147,-0.0013132269244180567,-0.0002891423595328124,0.00020127472756492973,0.0002555483079525198,0.000658449936672727,-6.3858999941859e-5,0.04166831468751457,-0.02143249128732824,-0.024937930421633107,-0.003049162944099337,-0.000946774445267299,0.0004992251553774568
9.550000000000146,-0.001310180065354355,-0.00028819988967032986,0.00020076486877644226,0.0002511840709017309,0.0006506890272623264,-8.484641440352741e-5,0.04166526782845087,-0.02143343375719072,-0.02493742056284462,-0.0030447987070485482,-0.0009390135358568984,0.0005202125698391253
9.551000000000146,-0.001307136839956466,-0.0002872626359487762,0.0002002348621287682,0.00024861793374988646,0.0006469327398578035,-0.00010411185761649653,0.04166222460305298,-0.021434371010912275,-0.024936890556196946,-0.003042232569896704,-0.0009352572484523755,0.0005394780130520944
9.552000000000145,-0.0013040944392522652,-0.0002863298484910154,0.0001996865581752466,0.00024949473726163397,0.0006418667695593761,-0.00012123544696567316,0.04165918220234878,-0.021435303798370036,-0.024936342252243424,-0.0030431093734084513,-0.0009301912781539483,0.000556601602401271
9.553000000000145,-0.0013010495401398758,-0.00028540250617030416,0.0001991227155071426,0.00025325110441941356,0.0006374891861521705,-0.00013511558996782014,0.04165613730323639,-0.021436231140690747,-0.02493577840957532,-0.003046865740566231,-0.0009258136947467426,0.000570481745403418
9.554000000000144,-0.0012980003539927523,-0.0002844755804385611,0.00019854679866123867,0.00025729886858660367,0.0006402885939376668,-0.00014620689666206596,0.04165308811708927,-0.02143715806642249,-0.024935202492729416,-0.003050913504733421,-0.0009286131025322389,0.0005815730520976638
